id,distrito,fecha,procedimiento,tipo_obra_ed,tipo_hu,modalidad,estado,area_m2,presupuesto_soles
LIM-202503-002,Lima Metropolitana,2025-03-01,ED-LIC,ED-NUE,,D,Aprobada,202.0,157897.79
LIM-202503-003,Lima Metropolitana,2025-03-01,ED-LIC,ED-ACO,,A,Denegada,88.2,132391.47
LIM-202503-004,Lima Metropolitana,2025-03-01,ED-LIC,ED-NUE,,B,Aprobada,196.1,252019.04
LIM-202503-005,Lima Metropolitana,2025-03-01,ED-LIC,ED-ACO,,B,Aprobada,159.5,266378.34
LIM-202503-006,Lima Metropolitana,2025-03-01,ED-LIC,ED-AMP,,A,Aprobada,181.7,352359.87
LIM-202504-001,Lima Metropolitana,2025-04-01,HU-LIC,,HU-IND,B,Observada,158.2,339151.68
LIM-202504-002,Lima Metropolitana,2025-04-01,HU-LIC,,HU-ETAP,B,Aprobada,60.9,75215.09
LIM-202504-003,Lima Metropolitana,2025-04-01,ED-LIC,ED-NUE,,C,Aprobada,242.9,247072.3
LIM-202504-004,Lima Metropolitana,2025-04-01,ED-LIC,ED-REF,,B,Aprobada,223.7,232236.3
LIM-202504-005,Lima Metropolitana,2025-04-01,ED-LIC,ED-DEM,,A,Aprobada,68.2,93428.23
LIM-202504-006,Lima Metropolitana,2025-04-01,ED-LIC,ED-REF,,A,Observada,224.1,293573.28
LIM-202504-007,Lima Metropolitana,2025-04-01,ED-LIC,ED-NUE,,C,Aprobada,38.0,36464.18
LIM-202504-008,Lima Metropolitana,2025-04-01,ED-LIC,ED-NUE,,B,Aprobada,462.0,815495.33
LIM-202505-001,Lima Metropolitana,2025-05-01,ED-LIC,ED-REM,,B,Aprobada,300.2,351979.73
LIM-202505-002,Lima Metropolitana,2025-05-01,ED-LIC,ED-NUE,,C,Observada,234.4,328932.63
LIM-202505-003,Lima Metropolitana,2025-05-01,HU-LIC,,HU-VIV-SIM,A,Aprobada,118.9,154226.98
LIM-202505-004,Lima Metropolitana,2025-05-01,ED-LIC,ED-AMP,,C,Aprobada,87.4,129372.98
LIM-202505-005,Lima Metropolitana,2025-05-01,HU-LIC,,HU-PROG,B,Aprobada,140.7,281240.94
LIM-202506-001,Lima Metropolitana,2025-06-01,HU-LIC,,HU-VIV-SIM,B,Aprobada,305.4,564935.57
LIM-202506-002,Lima Metropolitana,2025-06-01,HU-LIC,,HU-COM,B,Aprobada,91.6,142461.03
LIM-202506-003,Lima Metropolitana,2025-06-01,ED-LIC,ED-AMP,,C,Aprobada,30.1,51387.29
LIM-202506-004,Lima Metropolitana,2025-06-01,HU-LIC,,HU-PROG,C,Aprobada,267.3,209972.62
LIM-202506-005,Lima Metropolitana,2025-06-01,ED-LIC,ED-NUE,,B,Aprobada,89.8,181079.16
LIM-202506-006,Lima Metropolitana,2025-06-01,ED-LIC,ED-NUE,,A,Aprobada,357.9,289240.65
LIM-202506-007,Lima Metropolitana,2025-06-01,ED-LIC,ED-AMP,,D,Aprobada,79.7,138501.28
LIM-202507-001,Lima Metropolitana,2025-07-01,ED-LIC,ED-REF,,A,En evaluación,328.9,697391.96
LIM-202507-002,Lima Metropolitana,2025-07-01,HU-LIC,,HU-REURB,B,Aprobada,192.3,405189.71
LIM-202507-003,Lima Metropolitana,2025-07-01,ED-LIC,ED-NUE,,B,Observada,137.6,117521.46
LIM-202507-004,Lima Metropolitana,2025-07-01,ED-LIC,ED-ACO,,B,Aprobada,84.8,102097.49
LIM-202508-001,Lima Metropolitana,2025-08-01,ED-LIC,ED-ACO,,A,Aprobada,373.0,539093.81
LIM-202508-002,Lima Metropolitana,2025-08-01,ED-LIC,ED-REF,,A,Aprobada,280.0,604427.79
LIM-202508-003,Lima Metropolitana,2025-08-01,HU-LIC,,HU-COM,B,Denegada,285.7,219783.06
LIM-202508-004,Lima Metropolitana,2025-08-01,ED-LIC,ED-REF,,C,Aprobada,202.1,342182.76
LIM-202508-005,Lima Metropolitana,2025-08-01,ED-LIC,ED-NUE,,B,Aprobada,49.6,63917.98
LIM-202508-006,Lima Metropolitana,2025-08-01,ED-LIC,ED-NUE,,A,Aprobada,186.7,194851.16
LIM-202509-001,Lima Metropolitana,2025-09-01,ED-LIC,ED-AMP,,A,Observada,186.1,263407.71
LIM-202509-002,Lima Metropolitana,2025-09-01,ED-LIC,ED-NUE,,C,Aprobada,37.6,70207.45
LIM-202509-003,Lima Metropolitana,2025-09-01,ED-LIC,ED-NUE,,A,Denegada,215.8,245821.66
LIM-202509-004,Lima Metropolitana,2025-09-01,ED-LIC,ED-REF,,B,Aprobada,175.3,371930.74
LIM-202509-005,Lima Metropolitana,2025-09-01,ED-LIC,ED-NUE,,A,Aprobada,45.5,68256.0
LIM-202510-001,Lima Metropolitana,2025-10-01,ED-LIC,ED-AMP,,A,En evaluación,325.4,407770.92
LIM-202510-002,Lima Metropolitana,2025-10-01,ED-LIC,ED-NUE,,B,Observada,203.1,330300.16
LIM-202510-003,Lima Metropolitana,2025-10-01,ED-LIC,ED-AMP,,A,Aprobada,61.0,127306.07
LIM-202510-004,Lima Metropolitana,2025-10-01,ED-LIC,ED-ACO,,A,Aprobada,97.3,157419.07
LIM-202511-001,Lima Metropolitana,2025-11-01,ED-LIC,ED-NUE,,B,En evaluación,228.2,242691.35
LIM-202511-002,Lima Metropolitana,2025-11-01,ED-LIC,ED-AMP,,A,Aprobada,217.6,187897.93
LIM-202511-003,Lima Metropolitana,2025-11-01,ED-LIC,ED-AMP,,B,En evaluación,272.1,446334.08
LIM-202511-004,Lima Metropolitana,2025-11-01,ED-LIC,ED-NUE,,A,Aprobada,86.2,59515.58
LIM-202511-005,Lima Metropolitana,2025-11-01,ED-LIC,ED-AMP,,C,Observada,54.6,68142.82
LIM-202511-006,Lima Metropolitana,2025-11-01,ED-LIC,ED-REM,,A,Aprobada,178.5,107925.43
LIM-202511-007,Lima Metropolitana,2025-11-01,ED-LIC,ED-ACO,,B,Aprobada,156.4,340929.11
LIM-202512-001,Lima Metropolitana,2025-12-01,ED-LIC,ED-CER,,B,Aprobada,272.6,253372.05
LIM-202512-002,Lima Metropolitana,2025-12-01,HU-LIC,,HU-VIV-SIM,B,Aprobada,60.6,59259.59
LIM-202512-003,Lima Metropolitana,2025-12-01,ED-LIC,ED-AMP,,A,Aprobada,424.4,281545.63
LIM-202512-004,Lima Metropolitana,2025-12-01,ED-LIC,ED-NUE,,A,Aprobada,157.1,170163.33
MIR-202401-001,Miraflores,2024-01-01,ED-LIC,ED-OTH,,B,Aprobada,49.3,77134.47
MIR-202401-002,Miraflores,2024-01-01,ED-LIC,ED-ACO,,B,Aprobada,167.1,244015.48
MIR-202401-003,Miraflores,2024-01-01,ED-LIC,ED-ACO,,A,En evaluación,112.7,172161.57
MIR-202402-001,Miraflores,2024-02-01,ED-LIC,ED-NUE,,B,Observada,403.1,298607.89
MIR-202402-002,Miraflores,2024-02-01,ED-LIC,ED-REF,,B,En evaluación,372.0,773375.86
MIR-202402-003,Miraflores,2024-02-01,ED-LIC,ED-ACO,,D,Aprobada,342.2,589113.19
MIR-202402-004,Miraflores,2024-02-01,ED-LIC,ED-AMP,,A,Aprobada,189.1,280811.07
MIR-202402-005,Miraflores,2024-02-01,ED-LIC,ED-AMP,,B,Aprobada,249.1,509927.08
MIR-202402-006,Miraflores,2024-02-01,ED-LIC,ED-ACO,,D,Aprobada,91.8,187783.99
MIR-202403-001,Miraflores,2024-03-01,ED-LIC,ED-AMP,,C,Aprobada,133.4,200100.43
MIR-202403-002,Miraflores,2024-03-01,ED-LIC,ED-REF,,B,Aprobada,31.9,30872.02
MIR-202403-003,Miraflores,2024-03-01,ED-LIC,ED-NUE,,C,Aprobada,191.2,255597.01
MIR-202403-004,Miraflores,2024-03-01,HU-LIC,,HU-REURB,D,Aprobada,204.6,241296.38
MIR-202404-001,Miraflores,2024-04-01,ED-LIC,ED-REM,,B,Aprobada,195.6,237055.99
MIR-202404-002,Miraflores,2024-04-01,ED-LIC,ED-REM,,B,Denegada,230.3,491384.08
MIR-202404-003,Miraflores,2024-04-01,ED-LIC,ED-NUE,,A,Observada,310.6,444246.06
MIR-202404-004,Miraflores,2024-04-01,ED-LIC,ED-NUE,,A,Aprobada,139.4,138769.54
MIR-202404-005,Miraflores,2024-04-01,ED-LIC,ED-CER,,A,Aprobada,472.0,980399.54
MIR-202405-001,Miraflores,2024-05-01,ED-LIC,ED-REM,,B,En evaluación,113.7,157125.85
MIR-202406-001,Miraflores,2024-06-01,ED-LIC,ED-CER,,A,Aprobada,162.9,143134.8
MIR-202406-002,Miraflores,2024-06-01,ED-LIC,ED-AMP,,C,Aprobada,66.9,101564.13
MIR-202406-003,Miraflores,2024-06-01,ED-LIC,ED-AMP,,B,Denegada,158.5,146479.2
MIR-202406-004,Miraflores,2024-06-01,ED-LIC,ED-AMP,,D,Observada,259.1,394091.31
MIR-202406-005,Miraflores,2024-06-01,ED-LIC,ED-NUE,,B,Aprobada,13.7,9187.65
MIR-202407-001,Miraflores,2024-07-01,ED-LIC,ED-CER,,D,Aprobada,334.1,355980.86
MIR-202407-002,Miraflores,2024-07-01,ED-LIC,ED-REF,,A,Aprobada,325.7,707036.89
MIR-202407-003,Miraflores,2024-07-01,ED-LIC,ED-NUE,,C,Aprobada,152.0,94290.87
MIR-202407-004,Miraflores,2024-07-01,HU-LIC,,HU-VIV-VGL,A,Aprobada,57.9,100276.62
MIR-202407-005,Miraflores,2024-07-01,HU-LIC,,HU-IND,C,Aprobada,208.4,189769.74
MIR-202407-006,Miraflores,2024-07-01,HU-LIC,,HU-VIV-VVE,C,Aprobada,33.8,64249.86
MIR-202408-001,Miraflores,2024-08-01,HU-LIC,,HU-VIV-VVE,A,Aprobada,97.4,177646.76
MIR-202408-002,Miraflores,2024-08-01,ED-LIC,ED-ACO,,C,En evaluación,131.5,122398.16
MIR-202409-001,Miraflores,2024-09-01,ED-LIC,ED-REM,,C,Aprobada,68.9,136227.94
MIR-202409-002,Miraflores,2024-09-01,ED-LIC,ED-REM,,C,Aprobada,55.3,57353.98
MIR-202409-003,Miraflores,2024-09-01,ED-LIC,ED-REM,,C,En evaluación,141.4,213131.4
MIR-202410-001,Miraflores,2024-10-01,HU-LIC,,HU-VIV-CONV,D,Aprobada,97.6,79671.13
MIR-202410-002,Miraflores,2024-10-01,ED-LIC,ED-REF,,B,En evaluación,52.7,74120.61
MIR-202410-003,Miraflores,2024-10-01,ED-LIC,ED-REM,,A,Aprobada,114.9,90620.49
MIR-202410-004,Miraflores,2024-10-01,ED-LIC,ED-NUE,,B,Observada,299.5,240608.83
MIR-202410-005,Miraflores,2024-10-01,ED-LIC,ED-REF,,C,Denegada,208.3,360664.94
MIR-202410-006,Miraflores,2024-10-01,ED-LIC,ED-ACO,,B,Aprobada,53.2,84571.32
MIR-202410-007,Miraflores,2024-10-01,ED-LIC,ED-NUE,,B,Aprobada,224.3,401473.07
MIR-202410-008,Miraflores,2024-10-01,ED-LIC,ED-AMP,,B,En evaluación,160.6,318505.28
MIR-202410-009,Miraflores,2024-10-01,ED-LIC,ED-REM,,B,Aprobada,189.9,315776.1
MIR-202410-010,Miraflores,2024-10-01,ED-LIC,ED-NUE,,A,Aprobada,377.5,483024.35
MIR-202410-011,Miraflores,2024-10-01,ED-LIC,ED-REM,,B,Aprobada,114.4,82071.26
MIR-202411-001,Miraflores,2024-11-01,ED-LIC,ED-NUE,,A,Denegada,246.5,169129.32
MIR-202411-002,Miraflores,2024-11-01,ED-LIC,ED-REF,,A,Aprobada,464.5,806764.21
MIR-202411-003,Miraflores,2024-11-01,ED-LIC,ED-REM,,A,Observada,102.4,146614.68
MIR-202411-004,Miraflores,2024-11-01,HU-LIC,,HU-ETAP,B,En evaluación,47.5,32316.16
MIR-202411-005,Miraflores,2024-11-01,ED-LIC,ED-NUE,,D,Observada,66.0,64309.39
MIR-202411-006,Miraflores,2024-11-01,ED-LIC,ED-AMP,,B,Aprobada,119.0,91810.43
MIR-202501-001,Miraflores,2025-01-01,ED-LIC,ED-NUE,,A,En evaluación,341.2,683146.44
MIR-202501-002,Miraflores,2025-01-01,ED-LIC,ED-AMP,,B,En evaluación,183.7,311956.98
MIR-202501-003,Miraflores,2025-01-01,ED-LIC,ED-NUE,,B,Aprobada,73.7,107760.29
MIR-202501-004,Miraflores,2025-01-01,ED-LIC,ED-CER,,A,Aprobada,49.8,36194.92
MIR-202502-001,Miraflores,2025-02-01,ED-LIC,ED-CER,,B,Denegada,124.1,92071.93
MIR-202502-002,Miraflores,2025-02-01,ED-LIC,ED-NUE,,D,Aprobada,288.2,325386.8
MIR-202502-003,Miraflores,2025-02-01,ED-LIC,ED-AMP,,C,Aprobada,249.8,312594.32
MIR-202502-004,Miraflores,2025-02-01,HU-LIC,,HU-ESP,B,Aprobada,299.8,556491.35
MIR-202502-005,Miraflores,2025-02-01,ED-LIC,ED-AMP,,C,Aprobada,55.1,68224.04
MIR-202503-001,Miraflores,2025-03-01,ED-LIC,ED-NUE,,A,Observada,253.3,437365.72
MIR-202503-002,Miraflores,2025-03-01,ED-LIC,ED-NUE,,D,Aprobada,91.0,174383.68
MIR-202503-003,Miraflores,2025-03-01,ED-LIC,ED-AMP,,B,Aprobada,74.1,107833.07
MIR-202503-004,Miraflores,2025-03-01,ED-LIC,ED-NUE,,B,Aprobada,162.0,274082.78
MIR-202503-005,Miraflores,2025-03-01,ED-LIC,ED-REF,,B,Aprobada,67.1,145416.53
MIR-202504-001,Miraflores,2025-04-01,ED-LIC,ED-REF,,C,Observada,65.0,92262.64
MIR-202504-002,Miraflores,2025-04-01,ED-LIC,ED-NUE,,B,Aprobada,307.2,419651.15
MIR-202504-003,Miraflores,2025-04-01,ED-LIC,ED-NUE,,B,Aprobada,158.1,218764.51
MIR-202505-001,Miraflores,2025-05-01,ED-LIC,ED-NUE,,D,En evaluación,48.6,39753.17
MIR-202505-002,Miraflores,2025-05-01,ED-LIC,ED-AMP,,B,En evaluación,185.6,247662.84
MIR-202505-003,Miraflores,2025-05-01,ED-LIC,ED-NUE,,A,Aprobada,164.6,336303.83
MIR-202505-004,Miraflores,2025-05-01,HU-LIC,,HU-VIV-CONV,C,En evaluación,38.4,79575.29
MIR-202506-001,Miraflores,2025-06-01,ED-LIC,ED-AMP,,B,Observada,122.5,89687.01
MIR-202506-002,Miraflores,2025-06-01,ED-LIC,ED-ACO,,B,Aprobada,107.8,193472.54
MIR-202506-003,Miraflores,2025-06-01,ED-LIC,ED-NUE,,B,Observada,322.7,557648.37
MIR-202506-004,Miraflores,2025-06-01,HU-LIC,,HU-ETAP,D,Aprobada,156.6,279173.26
MIR-202506-005,Miraflores,2025-06-01,ED-LIC,ED-CER,,B,Aprobada,34.9,76360.24
MIR-202507-001,Miraflores,2025-07-01,ED-LIC,ED-NUE,,B,Aprobada,90.8,76636.94
MIR-202507-002,Miraflores,2025-07-01,ED-LIC,ED-REF,,A,En evaluación,45.1,73671.42
MIR-202507-003,Miraflores,2025-07-01,ED-LIC,ED-AMP,,D,Aprobada,7.2,4643.56
MIR-202507-004,Miraflores,2025-07-01,ED-LIC,ED-AMP,,C,Aprobada,221.7,404661.3
MIR-202507-005,Miraflores,2025-07-01,HU-LIC,,HU-OTH,A,En evaluación,69.1,131531.54
MIR-202508-001,Miraflores,2025-08-01,ED-LIC,ED-REM,,B,Aprobada,182.5,296606.17
MIR-202508-002,Miraflores,2025-08-01,ED-LIC,ED-NUE,,B,Aprobada,322.7,612617.02
MIR-202508-003,Miraflores,2025-08-01,ED-LIC,ED-NUE,,C,Aprobada,114.0,236729.85
MIR-202508-004,Miraflores,2025-08-01,ED-LIC,ED-NUE,,A,Aprobada,103.1,77904.52
MIR-202508-005,Miraflores,2025-08-01,ED-LIC,ED-AMP,,C,Observada,64.5,86482.22
MIR-202508-006,Miraflores,2025-08-01,ED-LIC,ED-NUE,,C,Observada,357.7,446018.98
MIR-202509-001,Miraflores,2025-09-01,ED-LIC,ED-REM,,A,Aprobada,36.3,65000.98
MIR-202509-002,Miraflores,2025-09-01,ED-LIC,ED-REM,,C,Observada,44.0,35181.15
MIR-202509-003,Miraflores,2025-09-01,ED-LIC,ED-REF,,B,En evaluación,141.4,294580.42
MIR-202509-004,Miraflores,2025-09-01,HU-LIC,,HU-VIV-SIM,C,Aprobada,201.5,121700.93
MIR-202509-005,Miraflores,2025-09-01,HU-LIC,,HU-VIV-CONV,A,Aprobada,115.2,73796.41
MIR-202509-006,Miraflores,2025-09-01,ED-LIC,ED-REF,,B,Observada,206.6,355053.65
MIR-202509-007,Miraflores,2025-09-01,ED-LIC,ED-ACO,,D,En evaluación,238.5,249880.18
MIR-202509-008,Miraflores,2025-09-01,ED-LIC,ED-AMP,,C,Observada,141.6,127795.57
MIR-202510-001,Miraflores,2025-10-01,ED-LIC,ED-NUE,,C,En evaluación,106.7,215491.99
MIR-202510-002,Miraflores,2025-10-01,ED-LIC,ED-OTH,,A,Denegada,47.4,59948.6
MIR-202511-001,Miraflores,2025-11-01,ED-LIC,ED-REM,,C,Aprobada,42.4,28839.8
MIR-202511-002,Miraflores,2025-11-01,ED-LIC,ED-PUV,,C,Observada,202.7,306971.12
MIR-202511-003,Miraflores,2025-11-01,ED-LIC,ED-NUE,,A,Aprobada,81.4,119567.45
MIR-202511-004,Miraflores,2025-11-01,ED-LIC,ED-NUE,,C,Observada,97.8,130755.83
MIR-202511-005,Miraflores,2025-11-01,HU-LIC,,HU-REURB,A,Aprobada,119.2,133951.59
MIR-202512-001,Miraflores,2025-12-01,ED-LIC,ED-PUV,,A,Aprobada,588.2,536407.73
MIR-202512-002,Miraflores,2025-12-01,ED-LIC,ED-NUE,,A,Aprobada,107.8,83543.98
MIR-202512-003,Miraflores,2025-12-01,ED-LIC,ED-NUE,,B,Aprobada,119.5,182248.36
MIR-202512-004,Miraflores,2025-12-01,ED-LIC,ED-NUE,,A,Aprobada,144.1,256828.85
MIR-202512-005,Miraflores,2025-12-01,ED-LIC,ED-NUE,,A,Observada,35.1,68260.28
SAN-202401-001,San Isidro,2024-01-01,ED-LIC,ED-DEM,,B,Aprobada,46.9,74744.93
SAN-202401-002,San Isidro,2024-01-01,ED-LIC,ED-DEM,,B,Aprobada,75.3,94209.65
SAN-202401-003,San Isidro,2024-01-01,ED-LIC,ED-REM,,B,En evaluación,367.5,550416.94
SAN-202401-004,San Isidro,2024-01-01,ED-LIC,ED-AMP,,C,Aprobada,216.2,143209.18
SAN-202401-005,San Isidro,2024-01-01,ED-LIC,ED-OTH,,B,Observada,12.7,12219.56
SAN-202401-006,San Isidro,2024-01-01,ED-LIC,ED-NUE,,D,En evaluación,166.4,318414.0
SAN-202402-001,San Isidro,2024-02-01,ED-LIC,ED-REM,,B,Aprobada,291.6,318519.53
SAN-202402-002,San Isidro,2024-02-01,ED-LIC,ED-NUE,,C,Aprobada,21.0,38228.76
SAN-202402-003,San Isidro,2024-02-01,ED-LIC,ED-REF,,C,Aprobada,81.5,85348.66
SAN-202402-004,San Isidro,2024-02-01,ED-LIC,ED-REF,,B,Observada,344.3,426261.55
SAN-202402-005,San Isidro,2024-02-01,ED-LIC,ED-NUE,,A,Observada,135.8,83344.92
SAN-202402-006,San Isidro,2024-02-01,ED-LIC,ED-NUE,,B,Aprobada,194.8,370008.05
SAN-202402-007,San Isidro,2024-02-01,ED-LIC,ED-REF,,D,Aprobada,107.2,225391.04
SAN-202402-008,San Isidro,2024-02-01,ED-LIC,ED-REM,,B,Aprobada,288.3,503741.3
SAN-202403-001,San Isidro,2024-03-01,HU-LIC,,HU-ETAP,B,Aprobada,207.4,215757.43
SAN-202403-002,San Isidro,2024-03-01,ED-LIC,ED-AMP,,B,Denegada,183.5,330542.25
SAN-202403-003,San Isidro,2024-03-01,HU-LIC,,HU-PROG,B,Aprobada,220.0,250919.22
